Publikationsjahr,Indikator_Nr,jahr_num,jahr_char,Wert,Indikator_Name,IndikatorLabelShort,Wohnviertel_id,Wohnviertel,Rang,Indikator-Kategorie,Gewichtung_Text,Bewertung_Text,Einheit,wert_txt
2024,1,2023,2023,0.0484,Sozialhilfequote,Anteil Sozialhilfeempfänger,99,Kanton Basel-Stadt,14,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"4,84%"
2024,2,2023,2023,0.3221206581,Auslaenderanteil,Anteil Ausländer,1,Altstadt Grossbasel,7,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"32,2%"
2024,2,2023,2023,0.429787234,Auslaenderanteil,Anteil Ausländer,2,Vorstädte,17,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,, 43%
2024,2,2023,2023,0.4030939615,Auslaenderanteil,Anteil Ausländer,3,Am Ring,14,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"40,3%"
2024,2,2023,2023,0.37598702,Auslaenderanteil,Anteil Ausländer,4,Breite,9,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"37,6%"
2024,2,2023,2023,0.3849047543,Auslaenderanteil,Anteil Ausländer,5,St. Alban,11,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"38,5%"
2024,2,2023,2023,0.4143520963,Auslaenderanteil,Anteil Ausländer,6,Gundeldingen,15,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"41,4%"
2024,2,2023,2023,0.2530921942,Auslaenderanteil,Anteil Ausländer,7,Bruderholz,3,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"25,3%"
2024,2,2023,2023,0.2373164704,Auslaenderanteil,Anteil Ausländer,8,Bachletten,1,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"23,7%"
2024,2,2023,2023,0.3081172971,Auslaenderanteil,Anteil Ausländer,9,Gotthelf,6,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"30,8%"
2024,2,2023,2023,0.401856018,Auslaenderanteil,Anteil Ausländer,10,Iselin,12,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"40,2%"
2024,2,2023,2023,0.4290261307,Auslaenderanteil,Anteil Ausländer,11,St. Johann,16,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"42,9%"
2024,2,2023,2023,0.4026872964,Auslaenderanteil,Anteil Ausländer,12,Altstadt Kleinbasel,13,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"40,3%"
2024,2,2023,2023,0.5108175814,Auslaenderanteil,Anteil Ausländer,13,Clara,19,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"51,1%"
2024,2,2023,2023,0.3359266943,Auslaenderanteil,Anteil Ausländer,14,Wettstein,8,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"33,6%"
2024,2,2023,2023,0.2776094452,Auslaenderanteil,Anteil Ausländer,15,Hirzbrunnen,4,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"27,8%"
2024,2,2023,2023,0.576362241,Auslaenderanteil,Anteil Ausländer,16,Rosental,22,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"57,6%"
2024,2,2023,2023,0.5033946345,Auslaenderanteil,Anteil Ausländer,17,Matthäus,18,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"50,3%"
2024,2,2023,2023,0.5313125536,Auslaenderanteil,Anteil Ausländer,18,Klybeck,21,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"53,1%"
2024,2,2023,2023,0.5169731259,Auslaenderanteil,Anteil Ausländer,19,Kleinhüningen,20,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"51,7%"
2024,2,2023,2023,0.2937524941,Auslaenderanteil,Anteil Ausländer,20,Riehen,5,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"29,4%"
2024,2,2023,2023,0.251324754,Auslaenderanteil,Anteil Ausländer,30,Bettingen,2,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"25,1%"
2024,2,2023,2023,0.384,Auslaenderanteil,Anteil Ausländer,99,Kanton Basel-Stadt,10,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"38,4%"
2024,4,2023,2023,0.3342709798,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,1,Altstadt Grossbasel,21,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"33,4%"
2024,4,2023,2023,0.3193005181,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,2,Vorstädte,20,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"31,9%"
2024,4,2023,2023,0.2701050621,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,3,Am Ring,13,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,, 27%
2024,4,2023,2023,0.2830188679,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,4,Breite,16,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"28,3%"
2024,4,2023,2023,0.229033064,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,5,St. Alban,7,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"22,9%"
2024,4,2023,2023,0.2925081433,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,6,Gundeldingen,18,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"29,3%"
2024,4,2023,2023,0.1434469617,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,7,Bruderholz,2,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"14,3%"
2024,4,2023,2023,0.2156153051,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,8,Bachletten,6,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"21,6%"
2024,4,2023,2023,0.2914079422,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,9,Gotthelf,17,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"29,1%"
2024,4,2023,2023,0.2778893031,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,10,Iselin,14,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"27,8%"
2024,4,2023,2023,0.2372414538,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,11,St. Johann,9,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"23,7%"
2024,4,2023,2023,0.3525054466,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,12,Altstadt Kleinbasel,22,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"35,3%"
2024,4,2023,2023,0.3059194566,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,13,Clara,19,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"30,6%"
2024,4,2023,2023,0.2664023071,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,14,Wettstein,12,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"26,6%"
2024,4,2023,2023,0.1975913887,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,15,Hirzbrunnen,4,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"19,8%"
2024,4,2023,2023,0.2345162596,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,16,Rosental,8,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"23,5%"
2024,4,2023,2023,0.2785967786,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,17,Matthäus,15,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"27,9%"
2024,4,2023,2023,0.2501834189,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,18,Klybeck,11,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,, 25%
2024,4,2023,2023,0.2133580705,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,19,Kleinhüningen,5,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"21,3%"
2024,4,2023,2023,0.1663577596,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,20,Riehen,3,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"16,6%"
2024,4,2023,2023,0.1251015435,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,30,Bettingen,1,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"12,5%"
2024,4,2023,2023,0.244,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,99,Kanton Basel-Stadt,10,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"24,4%"
2024,5,2023,2023,0.4286,Gymnasialquote,Gymnasialquote,1,Altstadt Grossbasel,13,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"42,9%"
2024,5,2023,2023,0.4783,Gymnasialquote,Gymnasialquote,2,Vorstädte,18,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"47,8%"
2024,5,2023,2023,0.5372,Gymnasialquote,Gymnasialquote,3,Am Ring,19,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"53,7%"
2024,5,2023,2023,0.313,Gymnasialquote,Gymnasialquote,4,Breite,10,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"31,3%"
2024,5,2023,2023,0.4404,Gymnasialquote,Gymnasialquote,5,St. Alban,14,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,, 44%
2024,5,2023,2023,0.2308,Gymnasialquote,Gymnasialquote,6,Gundeldingen,3,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"23,1%"
2024,5,2023,2023,0.587,Gymnasialquote,Gymnasialquote,7,Bruderholz,22,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"58,7%"
2024,5,2023,2023,0.5498,Gymnasialquote,Gymnasialquote,8,Bachletten,20,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,, 55%
2024,5,2023,2023,0.4545,Gymnasialquote,Gymnasialquote,9,Gotthelf,16,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"45,5%"
2024,5,2023,2023,0.2803,Gymnasialquote,Gymnasialquote,10,Iselin,5,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,, 28%
2024,5,2023,2023,0.3313,Gymnasialquote,Gymnasialquote,11,St. Johann,11,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"33,1%"
2024,5,2023,2023,0.28,Gymnasialquote,Gymnasialquote,12,Altstadt Kleinbasel,4,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,, 28%
2024,5,2023,2023,0.2857,Gymnasialquote,Gymnasialquote,13,Clara,6,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"28,6%"
2024,5,2023,2023,0.5574,Gymnasialquote,Gymnasialquote,14,Wettstein,21,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"55,7%"
2024,5,2023,2023,0.2995,Gymnasialquote,Gymnasialquote,15,Hirzbrunnen,9,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"29,9%"
2024,5,2023,2023,0.2906,Gymnasialquote,Gymnasialquote,16,Rosental,8,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"29,1%"
2024,5,2023,2023,0.2905,Gymnasialquote,Gymnasialquote,17,Matthäus,7,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,, 29%
2024,5,2023,2023,0.1024,Gymnasialquote,Gymnasialquote,18,Klybeck,1,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"10,2%"
2024,5,2023,2023,0.2203,Gymnasialquote,Gymnasialquote,19,Kleinhüningen,2,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,, 22%
2024,5,2023,2023,0.4581,Gymnasialquote,Gymnasialquote,20,Riehen,17,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"45,8%"
2024,5,2023,2023,0.4483,Gymnasialquote,Gymnasialquote,30,Bettingen,15,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"44,8%"
2024,5,2023,2023,0.38,Gymnasialquote,Gymnasialquote,99,Kanton Basel-Stadt,12,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,, 38%
2024,6,2023,2023,0.2919287212,Altersquotient,Altersquotient,1,Altstadt Grossbasel,9,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,292"
2024,6,2023,2023,0.3381449631,Altersquotient,Altersquotient,2,Vorstädte,15,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,338"
2024,6,2023,2023,0.3077441986,Altersquotient,Altersquotient,3,Am Ring,12,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,308"
2024,6,2023,2023,0.3091666667,Altersquotient,Altersquotient,4,Breite,13,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,309"
2024,6,2023,2023,0.3902170926,Altersquotient,Altersquotient,5,St. Alban,18,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,39"
2024,6,2023,2023,0.2334116933,Altersquotient,Altersquotient,6,Gundeldingen,5,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,233"
2024,6,2023,2023,0.4071563089,Altersquotient,Altersquotient,7,Bruderholz,20,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,407"
2024,6,2023,2023,0.3712214303,Altersquotient,Altersquotient,8,Bachletten,17,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,371"
2024,6,2023,2023,0.3607888631,Altersquotient,Altersquotient,9,Gotthelf,16,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,361"
2024,6,2023,2023,0.243385346,Altersquotient,Altersquotient,10,Iselin,6,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,243"
2024,6,2023,2023,0.2313123561,Altersquotient,Altersquotient,11,St. Johann,4,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,231"
2024,6,2023,2023,0.2857967667,Altersquotient,Altersquotient,12,Altstadt Kleinbasel,8,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,286"
2024,6,2023,2023,0.3047007102,Altersquotient,Altersquotient,13,Clara,11,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,305"
2024,6,2023,2023,0.2835199167,Altersquotient,Altersquotient,14,Wettstein,7,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,284"
2024,6,2023,2023,0.3949796973,Altersquotient,Altersquotient,15,Hirzbrunnen,19,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,395"
2024,6,2023,2023,0.1297365572,Altersquotient,Altersquotient,16,Rosental,1,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,13"
2024,6,2023,2023,0.2017258977,Altersquotient,Altersquotient,17,Matthäus,2,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,202"
2024,6,2023,2023,0.2232142857,Altersquotient,Altersquotient,18,Klybeck,3,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,223"
2024,6,2023,2023,0.3166001141,Altersquotient,Altersquotient,19,Kleinhüningen,14,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,317"
2024,6,2023,2023,0.4759358289,Altersquotient,Altersquotient,20,Riehen,22,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,476"
2024,6,2023,2023,0.4546722455,Altersquotient,Altersquotient,30,Bettingen,21,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,455"
2024,6,2023,2023,0.301,Altersquotient,Altersquotient,99,Kanton Basel-Stadt,10,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,301"
2024,7,2023,2023,0.305740988,Anteilsesshafte,Anteil Sesshafte,1,Altstadt Grossbasel,8,Gesellschaft und Soziales,Der Anteil Sesshafte ist für mich,Ein hoher Anteil Sesshafte ist für mich,,"30,6%"
2024,7,2023,2023,0.2818642351,Anteilsesshafte,Anteil Sesshafte,2,Vorstädte,3,Gesellschaft und Soziales,Der Anteil Sesshafte ist für mich,Ein hoher Anteil Sesshafte ist für mich,,"28,2%"
2024,7,2023,2023,0.2899709941,Anteilsesshafte,Anteil Sesshafte,3,Am Ring,5,Gesellschaft und Soziales,Der Anteil Sesshafte ist für mich,Ein hoher Anteil Sesshafte ist für mich,, 29%
2024,7,2023,2023,0.3255813953,Anteilsesshafte,Anteil Sesshafte,4,Breite,13,Gesellschaft und Soziales,Der Anteil Sesshafte ist für mich,Ein hoher Anteil Sesshafte ist für mich,,"32,6%"
2024,7,2023,2023,0.2967824556,Anteilsesshafte,Anteil Sesshafte,5,St. Alban,6,Gesellschaft und Soziales,Der Anteil Sesshafte ist für mich,Ein hoher Anteil Sesshafte ist für mich,,"29,7%"
2024,7,2023,2023,0.3084803042,Anteilsesshafte,Anteil Sesshafte,6,Gundeldingen,9,Gesellschaft und Soziales,Der Anteil Sesshafte ist für mich,Ein hoher Anteil Sesshafte ist für mich,,"30,8%"
2024,7,2023,2023,0.4270865814,Anteilsesshafte,Anteil Sesshafte,7,Bruderholz,22,Gesellschaft und Soziales,Der Anteil Sesshafte ist für mich,Ein hoher Anteil Sesshafte ist für mich,,"42,7%"
2024,7,2023,2023,0.404491932,Anteilsesshafte,Anteil Sesshafte,8,Bachletten,19,Gesellschaft und Soziales,Der Anteil Sesshafte ist für mich,Ein hoher Anteil Sesshafte ist für mich,,"40,4%"
2024,7,2023,2023,0.3511828871,Anteilsesshafte,Anteil Sesshafte,9,Gotthelf,16,Gesellschaft und Soziales,Der Anteil Sesshafte ist für mich,Ein hoher Anteil Sesshafte ist für mich,,"35,1%"
2024,7,2023,2023,0.3149606299,Anteilsesshafte,Anteil Sesshafte,10,Iselin,12,Gesellschaft und Soziales,Der Anteil Sesshafte ist für mich,Ein hoher Anteil Sesshafte ist für mich,,"31,5%"
2024,7,2023,2023,0.301350172,Anteilsesshafte,Anteil Sesshafte,11,St. Johann,7,Gesellschaft und Soziales,Der Anteil Sesshafte ist für mich,Ein hoher Anteil Sesshafte ist für mich,,"30,1%"
