Publikationsjahr,Indikator_Nr,jahr_num,jahr_char,Wert,Indikator_Name,IndikatorLabelShort,Wohnviertel_id,Wohnviertel,Rang,Indikator-Kategorie,Gewichtung_Text,Bewertung_Text,Einheit,wert_txt
2024,1,2023,2023,0.015,Sozialhilfequote,Anteil Sozialhilfeempfänger,1,Altstadt Grossbasel,2,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"1,5%"
2024,1,2023,2023,0.03,Sozialhilfequote,Anteil Sozialhilfeempfänger,2,Vorstädte,9,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,  3%
2024,1,2023,2023,0.026,Sozialhilfequote,Anteil Sozialhilfeempfänger,3,Am Ring,8,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"2,6%"
2024,1,2023,2023,0.042,Sozialhilfequote,Anteil Sozialhilfeempfänger,4,Breite,12,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"4,2%"
2024,1,2023,2023,0.023,Sozialhilfequote,Anteil Sozialhilfeempfänger,5,St. Alban,5,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"2,3%"
2024,1,2023,2023,0.046,Sozialhilfequote,Anteil Sozialhilfeempfänger,6,Gundeldingen,13,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"4,6%"
2024,1,2023,2023,0.012,Sozialhilfequote,Anteil Sozialhilfeempfänger,7,Bruderholz,1,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"1,2%"
2024,1,2023,2023,0.018,Sozialhilfequote,Anteil Sozialhilfeempfänger,8,Bachletten,3,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"1,8%"
2024,1,2023,2023,0.032,Sozialhilfequote,Anteil Sozialhilfeempfänger,9,Gotthelf,10,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"3,2%"
2024,1,2023,2023,0.071,Sozialhilfequote,Anteil Sozialhilfeempfänger,10,Iselin,19,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"7,1%"
2024,1,2023,2023,0.061,Sozialhilfequote,Anteil Sozialhilfeempfänger,11,St. Johann,17,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"6,1%"
2024,1,2023,2023,0.053,Sozialhilfequote,Anteil Sozialhilfeempfänger,12,Altstadt Kleinbasel,15,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"5,3%"
2024,1,2023,2023,0.054,Sozialhilfequote,Anteil Sozialhilfeempfänger,13,Clara,16,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"5,4%"
2024,1,2023,2023,0.019,Sozialhilfequote,Anteil Sozialhilfeempfänger,14,Wettstein,4,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"1,9%"
2024,1,2023,2023,0.038,Sozialhilfequote,Anteil Sozialhilfeempfänger,15,Hirzbrunnen,11,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"3,8%"
2024,1,2023,2023,0.061,Sozialhilfequote,Anteil Sozialhilfeempfänger,16,Rosental,17,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"6,1%"
2024,1,2023,2023,0.083,Sozialhilfequote,Anteil Sozialhilfeempfänger,17,Matthäus,20,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"8,3%"
2024,1,2023,2023,0.098,Sozialhilfequote,Anteil Sozialhilfeempfänger,18,Klybeck,21,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"9,8%"
2024,1,2023,2023,0.098,Sozialhilfequote,Anteil Sozialhilfeempfänger,19,Kleinhüningen,21,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"9,8%"
2024,1,2023,2023,0.025,Sozialhilfequote,Anteil Sozialhilfeempfänger,20,Riehen,7,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"2,5%"
2024,1,2023,2023,0.024,Sozialhilfequote,Anteil Sozialhilfeempfänger,30,Bettingen,6,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"2,4%"
